# Table from https://simple.wikipedia.org/wiki/List_of_cities_in_France
Commune,Department,Region,Pop. 2013census,Rank
Montauban,Tarn-et-Garonne,Occitanie,"57,921",92
Sarcelles,Val-d'Oise,Île-de-France,"57,533",93
Niort,Deux-Sèvres,Nouvelle-Aquitaine,"57,393",94
Villejuif,Val-de-Marne,Île-de-France,"57,184",95
Saint-André,Réunion,Réunion,"56,156",96
Hyères,Var,Provence-Alpes-Côte d'Azur,"55,713",97
Saint-Quentin,Aisne,Hauts-de-France,"55,698",98
Beauvais,Oise,Hauts-de-France,"55,252",99
Épinay-sur-Seine,Seine-Saint-Denis,Île-de-France,"54,857",100
Cayenne,Guyane,French Guiana,"54,709",101
Maisons-Alfort,Val-de-Marne,Île-de-France,"54,470",102
Cholet,Maine-et-Loire,Pays de la Loire,"53,890",103
Meaux,Seine-et-Marne,Île-de-France,"53,766",104
Chelles,Seine-et-Marne,Île-de-France,"53,569",105
Pantin,Seine-Saint-Denis,Île-de-France,"53,471",106
